anon_item_id,anon_thread_id,anon_byr_id,anon_slr_id,src_cre_dt,fdbk_score_src,fdbk_pstv_src,offr_type_id,status_id,offr_price,src_cre_date,response_time,slr_hist,byr_hist,any_mssg,byr_us
48001486,5750925,4530231,4437257,20apr2013,304,99.35,0,6,50,20apr2013 05:11:08,20apr2013 05:11:08,,,,0
98092942,6679799,5262464,4437257,07may2013,306,99.35,0,7,145,07may2013 18:42:10,09may2013 18:42:10,,,,0
98092942,6679799,5262464,4437257,07may2013,306,99.35,0,6,135,07may2013 18:41:30,07may2013 18:41:30,,,,0
48001486,6420363,5057847,4437257,20apr2013,304,99.35,0,9,65,20apr2013 10:05:05,20apr2013 10:05:05,,,,0
48001486,53707,42189,4437257,20apr2013,304,99.35,0,6,55,20apr2013 04:13:50,20apr2013 04:13:50,,,,0
338898,8429680,6641385,4437257,20apr2013,304,99.35,0,6,156.81,20apr2013 11:21:55,20apr2013 11:21:55,,,,0
11884110,11000769,8666545,4437257,06may2013,306,99.35,0,1,424,06may2013 09:50:29,06may2013 09:52:07,22,26,1,1
96898994,366329,288620,4437257,25apr2013,304,99.35,0,9,70,25apr2013 16:12:59,25apr2013 16:12:59,14,13,,1
86729440,1475976,1162926,4437257,27apr2013,304,99.35,0,7,600,27apr2013 04:46:58,27apr2013 06:33:18,,,,0
41451185,8189116,6451917,4437257,06may2013,306,99.35,0,7,300,06may2013 20:27:20,08may2013 20:27:20,24,32,,1
42394182,5616915,4424414,4437257,25apr2013,304,99.35,0,6,89,25apr2013 12:34:14,25apr2013 12:34:14,13,920,,1
91846614,12242682,9644710,4437257,21apr2013,304,99.35,0,6,200,21apr2013 04:12:12,21apr2013 04:12:12,12,47,,0
52145919,5768066,10753367,4437257,27may2013,306,99.35,2,1,220,27may2013 07:03:34,27may2013 07:04:59,,,1,0
41739926,5899710,10622205,4437257,12may2013,306,99.35,2,7,175,12may2013 20:43:17,14may2013 20:43:17,,,1,0
42394182,53094,41687,4437257,30apr2013,304,99.35,0,6,120,30apr2013 13:02:40,30apr2013 13:02:40,18,31,,1
11884110,12568245,9900948,4437257,05may2013,306,99.35,0,7,300,05may2013 20:11:00,07may2013 20:11:00,21,51,,1
52145919,5768066,10753367,4437257,27may2013,306,99.35,0,7,200,27may2013 06:31:16,29may2013 06:31:16,37,11,,1
64104688,13650594,6852616,4437257,27may2013,306,99.35,2,1,90,27may2013 19:29:56,28may2013 04:18:12,,,1,0
